pair,doc_mix,best_endpoint_ndcg,best_mixed_ndcg,delta_ndcg,lambda_star_mid,lang_a,lang_b,script_match,family_dist,typology_dist,resource_pattern,lang2vec_knn,gram_bank,script,glot_tree,doc_type,doc_regime
ID-VI,ID + VI docs,28.8811,29.1828,0.3017000000000003,30.0,id,vi,match,1,0,L-L,0.2157,0.4379,0.0,1.0,bi,L1+L2 docs
ID-VI,ID docs,28.404,28.7903,0.38629999999999853,30.0,id,vi,match,1,0,L-L,0.2157,0.4379,0.0,1.0,mono,L1 docs
ID-VI,VI docs,26.0873,27.694,1.6067,70.0,id,vi,match,1,0,L-L,0.2157,0.4379,0.0,1.0,mono,L2 docs
ID-ZH,ID + ZH docs,28.4042,28.7852,0.3810000000000002,10.0,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,bi,L1+L2 docs
ID-ZH,ID docs,28.404,28.812,0.40800000000000125,30.0,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L1 docs
ID-ZH,ZH docs,26.0793,27.1344,1.0550999999999995,70.0,id,zh,mismatch,1,0,L-H,0.2977,0.4899,0.6667,1.0,mono,L2 docs
IT-PT,IT + PT docs,29.189,30.6523,1.4633000000000003,50.0,it,pt,match,0,0,L-L,0.0922,0.2363,0.0,0.3864,bi,L1+L2 docs
IT-PT,IT docs,29.0474,30.1154,1.0680000000000014,30.0,it,pt,match,0,0,L-L,0.0922,0.2363,0.0,0.3864,mono,L1 docs
IT-PT,PT docs,28.6351,29.8377,1.2026000000000003,50.0,it,pt,match,0,0,L-L,0.0922,0.2363,0.0,0.3864,mono,L2 docs
JA-HI,HI docs,26.8289,27.3225,0.4936000000000007,70.0,ja,hi,mismatch,1,1,H-L,0.3819,0.5558,0.6667,1.0,mono,L2 docs
JA-HI,JA + HI docs,27.4386,28.1297,0.6910999999999987,50.0,ja,hi,mismatch,1,1,H-L,0.3819,0.5558,0.6667,1.0,bi,L1+L2 docs
JA-HI,JA docs,27.2123,27.5401,0.32779999999999987,30.0,ja,hi,mismatch,1,1,H-L,0.3819,0.5558,0.6667,1.0,mono,L1 docs
JA-RU,JA + RU docs,27.4308,28.7593,1.3284999999999982,50.0,ja,ru,mismatch,1,1,H-L,0.3939,0.5788,1.0,1.0,bi,L1+L2 docs
JA-RU,JA docs,27.2123,27.5913,0.37900000000000134,30.0,ja,ru,mismatch,1,1,H-L,0.3939,0.5788,1.0,1.0,mono,L1 docs
JA-RU,RU docs,27.2046,27.8633,0.6586999999999996,70.0,ja,ru,mismatch,1,1,H-L,0.3939,0.5788,1.0,1.0,mono,L2 docs
NL-ES,ES docs,30.0726,30.7234,0.6508000000000003,70.0,nl,es,match,1,1,L-H,0.2634,-1.0,0.0,0.8286,mono,L2 docs
NL-ES,NL + ES docs,29.9855,31.5625,1.5770000000000017,50.0,nl,es,match,1,1,L-H,0.2634,-1.0,0.0,0.8286,bi,L1+L2 docs
NL-ES,NL docs,28.7051,29.8068,1.1016999999999975,30.0,nl,es,match,1,1,L-H,0.2634,-1.0,0.0,0.8286,mono,L1 docs
NL-FR,FR docs,30.1557,30.7084,0.5527000000000015,70.0,nl,fr,match,1,1,L-H,0.1736,0.4553,0.0,0.8412,mono,L2 docs
NL-FR,NL + FR docs,30.1215,30.8685,0.7469999999999999,70.0,nl,fr,match,1,1,L-H,0.1736,0.4553,0.0,0.8412,bi,L1+L2 docs
NL-FR,NL docs,28.7051,29.4266,0.7214999999999989,30.0,nl,fr,match,1,1,L-H,0.1736,0.4553,0.0,0.8412,mono,L1 docs
NL-IT,IT docs,29.0474,30.1703,1.1229000000000013,70.0,nl,it,match,1,1,L-L,0.1782,0.4745,0.0,0.8091,mono,L2 docs
NL-IT,NL + IT docs,29.1754,30.2633,1.0879000000000012,70.0,nl,it,match,1,1,L-L,0.1782,0.4745,0.0,0.8091,bi,L1+L2 docs
NL-IT,NL docs,28.7051,29.3549,0.649799999999999,30.0,nl,it,match,1,1,L-L,0.1782,0.4745,0.0,0.8091,mono,L1 docs
ZH-JA,JA docs,27.2123,27.3193,0.10699999999999932,70.0,zh,ja,mismatch,1,1,H-H,0.3434,0.5209,0.75,1.0,mono,L2 docs
ZH-JA,ZH + JA docs,27.6902,27.9032,0.2129999999999974,90.0,zh,ja,mismatch,1,1,H-H,0.3434,0.5209,0.75,1.0,bi,L1+L2 docs
ZH-JA,ZH docs,26.0793,26.4558,0.37650000000000006,30.0,zh,ja,mismatch,1,1,H-H,0.3434,0.5209,0.75,1.0,mono,L1 docs
ZH-RU,RU docs,27.2046,27.7192,0.5146000000000015,70.0,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L2 docs
ZH-RU,ZH + RU docs,27.2802,27.8642,0.5839999999999996,70.0,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,bi,L1+L2 docs
ZH-RU,ZH docs,26.0793,27.0075,0.9282000000000004,30.0,zh,ru,mismatch,1,1,H-L,0.337,0.6458,1.0,1.0,mono,L1 docs
