pair,doc_mix,method,mix_ratio,ndcg10,ndcg10_std,ndcg10_stderr,ndcg10_ci90_low,ndcg10_ci90_high,ndcg10_ci95_low,ndcg10_ci95_high,mrr10,r10,model,source_file
EN-AR,AR docs,embed,50.0,27.4015,36.0049,0.9346,25.8632,28.9398,25.5681,29.2348,23.0202,42.6157,bge-m3,mmarco-8841823-arabic-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-064042-agg.csv
EN-AR,AR docs,embed,70.0,26.8127,35.6921,0.9265,25.2878,28.3377,24.9953,28.6301,22.3108,42.2001,bge-m3,mmarco-8841823-arabic-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-064059-agg.csv
EN-AR,AR docs,embed,90.0,25.3531,34.8288,0.9041,23.865,26.8411,23.5796,27.1265,20.9399,40.5829,bge-m3,mmarco-8841823-arabic-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-064113-agg.csv
EN-AR,AR docs,embed,100.0,24.4812,34.7626,0.9024,22.996,25.9664,22.7111,26.2513,20.3437,38.7972,bge-m3,mmarco-8841823-arabic-en-ar-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-064128-agg.csv
EN-AR,EN + AR docs,embed,0.0,33.665,37.4207,0.9714,32.0662,35.2638,31.7596,35.5705,28.3232,51.971,bge-m3,mmarco-8841823-bilingual-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-061840-agg.csv
EN-AR,EN + AR docs,embed,10.0,33.6259,37.2452,0.9668,32.0346,35.2172,31.7294,35.5224,28.1809,52.2069,bge-m3,mmarco-8841823-bilingual-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-061900-agg.csv
EN-AR,EN + AR docs,embed,30.0,32.9743,36.7967,0.9552,31.4021,34.5464,31.1006,34.848,27.4392,51.9036,bge-m3,mmarco-8841823-bilingual-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-061927-agg.csv
EN-AR,EN + AR docs,embed,50.0,30.8717,36.7817,0.9548,29.3002,32.4432,28.9988,32.7446,25.7474,48.4445,bge-m3,mmarco-8841823-bilingual-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-061949-agg.csv
EN-AR,EN + AR docs,embed,70.0,28.4359,35.9757,0.9339,26.8989,29.973,26.604,30.2678,23.5566,45.1202,bge-m3,mmarco-8841823-bilingual-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-062010-agg.csv
EN-AR,EN + AR docs,embed,90.0,25.8885,35.0123,0.9089,24.3926,27.3844,24.1057,27.6713,21.3491,41.5824,bge-m3,mmarco-8841823-bilingual-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-062033-agg.csv
EN-AR,EN + AR docs,embed,100.0,24.9086,34.9801,0.908,23.4141,26.4031,23.1274,26.6898,20.7395,39.4036,bge-m3,mmarco-8841823-bilingual-en-ar-5bands-bge-m3/vector_mix/cm-alpha-1_dev_20251218-062054-agg.csv
EN-AR,EN docs,embed,0.0,33.6276,37.3817,0.9704,32.0305,35.2247,31.7241,35.5311,28.2139,51.9036,bge-m3,mmarco-8841823-english-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0_dev_20251218-064517-agg.csv
EN-AR,EN docs,embed,10.0,33.587,37.2514,0.967,31.9954,35.1786,31.6902,35.4838,28.097,52.0721,bge-m3,mmarco-8841823-english-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.1_dev_20251218-064533-agg.csv
EN-AR,EN docs,embed,30.0,33.2836,36.9879,0.9602,31.7033,34.8639,31.4002,35.167,27.7924,52.0047,bge-m3,mmarco-8841823-english-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.3_dev_20251218-064549-agg.csv
EN-AR,EN docs,embed,50.0,31.9296,36.6403,0.9511,30.3641,33.4951,30.0639,33.7953,26.5485,50.3538,bge-m3,mmarco-8841823-english-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.5_dev_20251218-064604-agg.csv
EN-AR,EN docs,embed,70.0,28.1662,35.7199,0.9272,26.6401,29.6923,26.3474,29.9851,23.194,45.0191,bge-m3,mmarco-8841823-english-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.7_dev_20251218-064620-agg.csv
EN-AR,EN docs,embed,90.0,21.8917,33.3276,0.8651,20.4678,23.3156,20.1947,23.5888,17.8775,35.5851,bge-m3,mmarco-8841823-english-en-ar-5bands-bge-m3/vector_mix/cm-alpha-0.9_dev_20251218-064636-agg.csv
